"キャラ詳細数値
※作業時は基本、各個人のローカルのスプシにコピーしてから作業!!
謎のコピーシート見つけたら、管理衛生上、削除してしまうのでご注意を。
↑↑運用定着したら注意表記削除します",,,,,,,,"※A列(A列)〜K列、「監修・企画」ID管理更新待ち。
↓↓↓(D列〜J列は作品表示順、自動出力数値etcに影響)",,,※↓手動,,0.0,※↓手動,※↓手動,"※新ワザ
追加時
メンテ必要","※新特性
追加時
メンテ必要",,,,※↓手動,,※↓手動,,,※↓手動,,※↓手動,,,※↓手動,"※新ワザ
追加時
メンテ必要",,,,,,,,,,,※↓手動,,,,"手動
※攻撃力との差し引きなし",,,,,,,※メンテ中,※メンテ中,,,※↓手動,,,"手動
※体力との差し引きなし",,,,,※↓手動,,※↓手動(レギュ参照),※↓半自動,※↓半自動,※↓半手動,※↓手動,※手動(指示書),※↓手動,※↓半手動,,"※↓手動
※UR以上は特性2つ",※↓半手動,,※半自動,"※指示書
※↓範囲指定手動",,,"※指示書
※↓範囲指定手動","※指示書
※↓範囲指定手動",,※SPキャラは手動,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",,,,"※↓手動
※Fes_UR以上は特性3つ",※↓半手動,,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",※↓手動,※↓手動,※↓手動,※↓手動,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,範囲対象数→,5,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,"※
必殺ワザ1、その他ワザと
差分ある時のみ指定
【対象範囲：DF列〜DK列】",,,
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
該当なし,該当なし,,#N/A,#N/A,#N/A,該当なし,#N/A,#N/A,#N/A,#N/A,※,0,0,,0,0.0,0.0,-2.5,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,#N/A,0.0,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.00,0.00,0.00,#N/A,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#N/A,#VALUE!,-,#N/A,#VALUE!,#N/A,0,0.00,#N/A,#N/A,0.00,0.00,#N/A,#N/A,#N/A,0.0,#N/A,,#N/A,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),#N/A,,※特性を選択!!(BW列),#N/A,該当なし,,#N/A,#VALUE!,,,#N/A,#VALUE!,,,,#N/A,-,-,#N/A,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
